ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
VEGFR2 mediated vascular permeability	0.00565296128006685	0.0148240594503725	0.00958015851607417	0.0191470751170109	0.0139625276756608	0.00584233729402414	0.0921976883630679	0.000727721766368362	0.00203153504461628	0.000624734299057811	0.00349670434226486	0.00146467029535693	0.000766163160797079	0.000879444323808467	0.00302862492200107	0.00149366183675596	0.000133202205365195	0.00146700231046575	0.00187179451453998	0.000263819987399898	8.24292941896711e-05	0.00246194714266496	0.001641311404377
EPHB-mediated forward signaling	0.00167111086575455	0.00502052880951139	0.00503923312044758	0.00435532979662909	0.00477001828712961	0.0301294913872871	0.0463102768037929	0.0159489396365409	0.00615647156804007	5.74998036613613e-05	0.0038352414823255	0.000770613773256477	0.000813883169331411	0.000110260861165475	4.82928167158192e-05	0.00319170978955437	0.000133419457228517	6.46065296910569e-05	0.000340400178008803	0.000195157995880991	5.23302572927546e-05	0.000665681007539125	8.7754442151792e-05
Signaling by EGFR	0.00240456998894248	0.00549424100753262	0.00345667874063432	0.00507553542349002	0.00494222731926213	0.0019377395251645	0.00115378303090093	0.00114850431865908	0.000414981608308202	7.19338156784873e-05	0.00127289783405213	0.000900512193230123	0.0013148106955969	0.000829619541858568	7.27280768532496e-05	0.00106780419138506	0.000135409864016624	2.41045985603081e-05	0.000248428440780921	0.000117065946982417	1.79875200656103e-05	0.00113385816348332	5.59676019177824e-05
Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	0.00851520154497463	0.00656808217494604	0.00284355774315059	0.000781940489969468	0.000927194645878312	0.00013081037572155	0.00038832163446528	1.13392240379767e-05	1.35135356591877e-05	1.26193527239941e-05	0.00236039426331167	0.000906233183527612	0.00134385930729433	0.00202695209960823	0.000442036605186406	0.000234686864200857	0.000147236098055145	1.19883498979469e-06	0.000208199902178308	0.000151575682516675	5.55567671273655e-05	0.000296804502727938	1.10062968215824e-05
Regulation of HSF1-mediated heat shock response	0.00178026539106281	0.00216380763759978	0.00262272127176949	0.00234505451673928	0.00368367661114462	0.000722654716086967	0.0199915003726411	0.00173859048447488	0.00159026190175827	0.000499241034599652	0.00222640891470224	0.00157469105749907	0.000761683943285779	0.000295890985415862	0.000307794821083408	0.0069307436624265	0.000153441401423628	0.000189047530421971	0.00247166300388443	0.00046245525012565	0.000186531960156776	0.0024136563010568	0.00106002500300503
Signaling by Ligand-Responsive EGFR Variants in Cancer	0.0126434175573548	0.12288025302964	0.0998086476931015	0.140167548554429	0.138988688443199	0.00668218455085557	0.00552348378376502	0.000712756368486439	0.00102719481467522	0.000560558781206131	0.00468319881832668	0.00226479601830205	0.00319509737393621	0.00126853553839913	0.00201049039315225	0.00240847219204124	0.000164754463828216	0.000200039238249273	0.00327318300364466	0.000597609649643471	0.000388006728540486	0.00272533964513598	0.000215348414119005
HDR through MMEJ (alt-NHEJ)	0.659158778735113	0.640779720767475	0.651955608527808	0.655880090114824	0.643035418893955	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.000148271439213404	0.99936320502732	0.683391589716061	0.676882540867228	0.721340788308599	0.66431417250013	0.657176200012889	0.00017194215140333	0.000104501078034781	0.673760835792661	0.696090724692193	0.0735276401690816	0.99936320502732	0.69893505312668
PCP/CE pathway	0.0220198147085996	0.0432983251811459	0.0276399821940933	0.0280815724616244	0.028950948375569	0.000124919080921088	0.0202353477282944	0.00869429321842337	0.00792128732633128	4.38937707272788e-05	0.00371706576271515	0.00622673923596171	0.00519240675370002	0.00669435968495253	0.00373789618102446	0.00559657450234066	0.000179090958993626	0.000224293514480121	0.00115996187202964	0.000246496551110979	0.000367889992787635	0.00376860874709667	0.000247731392250974
G1/S-Specific Transcription	0.00823261952156673	0.00582090429859631	0.00245788586436061	0.00372862617092957	0.00439042853564849	0.782950233014917	0.576667084253076	0.428878616581172	0.479781730436521	0.0010635834218023	0.831165788172508	0.479003916630109	0.0219356777767351	0.00890596062499309	0.00188270519567884	0.671381713710609	0.000182422157722064	0.000283593819105398	0.00187562982971317	0.0224643208030583	0.00478055654874196	0.703712649551868	0.000455485395664328
Signaling by NTRK2 (TRKB)	0.0125400754534906	0.0125646664696103	0.0102492690338933	0.00825821245768178	0.00654428178701431	0.00573048733475112	0.00167804412210898	0.000734923081986243	0.00036511160651823	0.00015636334194763	0.00127628432136322	0.00247738436009809	0.00212707011935546	0.00235643030120784	0.000404862187201242	0.000598352532157585	0.00018469478356138	1.2209148954537e-05	0.000339009307758765	0.000478986551155498	0.000353545253379892	0.000194447783331349	5.39379255025172e-05
Activation of NMDA receptors and postsynaptic events	0.000201604375322014	0.00137871248974099	0.00183793984891642	0.00187240186629318	0.000588821340881862	0.00138941809368292	0.0463801433610364	0.000446363481862983	0.000163695720538612	0.000184436098775066	0.000222561895815743	1.82873826503487e-05	1.10302485539549e-05	1.11423274472574e-05	8.78265808109527e-06	0.000200953227475615	0.000192536453244781	0.000616715804691368	3.51406616205401e-05	1.41374597321912e-05	9.36068618825886e-06	0.00041487409450215	0.000411426664947682
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	0.0163997473362727	0.0863726427533818	0.117616381213211	0.111613402755015	0.10171680751885	0.00900082985498708	0.00637582661541234	0.000608656589398906	0.000500014049467932	0.000287477500667912	0.00301870168864355	0.00317460338107217	0.00217789100110155	0.00123508701356567	0.000897668181176348	0.00206906020420257	0.000195045624071067	0.000184591981947447	0.00225268527090596	0.000641425322960612	0.000515785788599797	0.00306233582109019	0.000243056638899726
Signaling by FGFR4 in disease	0.396838585442181	0.230840584751518	0.210223001607715	0.192820343759589	0.217358515967375	0.00859371266368575	0.00213361538306251	0.00173467157456429	0.00140129863304863	0.00157463419862094	0.0183265847582984	0.0159605226337201	0.0189924512570105	0.0179540288600353	0.00469181378031889	0.000317197396724937	0.0002012027366688	0.000103417742128301	0.000461288527689211	0.00907491167156553	0.00186760586294448	2.05166281084592e-05	0.0026452878311129
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0.429928745319089	0.553326794394034	0.527234305625792	0.551922099604599	0.558980627043346	0.169581493174301	0.450411519928809	0.27427851024715	0.554348127859971	0.000777978597401362	0.140615483388638	0.0110547954794244	0.0228484283985232	0.0063674936316462	0.0013300100972006	0.0191034038216256	0.000209085057799805	0.00105601928350747	0.0337763199070018	0.00416824008415602	0.00072681491955883	0.00674413467779932	0.000656899500675967
Opioid Signalling	0.0108691259424225	0.0162682793720091	0.0172412445468882	0.0187001705805753	0.0191274078858561	0.00339825704613361	0.00883437616328968	5.89138626725368e-06	1.63982085210661e-05	3.43673927315332e-05	0.00334426011306624	0.00305637212341342	0.000652287160348653	0.000430108160442861	0.000271479286202965	7.34138651288094e-05	0.000211548870210237	0.000153843325549424	0.00483415583882681	0.000467902636170272	0.000123787023660409	0.000560502075490825	1.55840088830815e-05
Toll Like Receptor 9 (TLR9) Cascade	0.00557437617253519	0.00149620895554976	0.00205662025766442	0.00151192617156806	0.000717266776657658	0.000434616160211472	0.000354239090445634	0.00177529649301937	0.00278789870183827	3.7120794647505e-06	0.000221481483595752	2.44276944124587e-05	0.000341315958212896	0.000176300568488104	5.36858816459676e-05	0.00304175585476544	0.00022429698877006	2.23993913356669e-05	0.0007121737296809	3.1088887517978e-06	0.000303656647449396	0.0010274380159058	1.85353335952162e-05
Signaling by Erythropoietin	0.0572259162798654	0.0403176968825675	0.019025206790322	0.00842429010564905	0.00978068235998309	0.000471188781850295	0.000833768163671447	1.18819747679592e-05	1.63130732488803e-05	5.90316363683357e-06	0.00027599906131202	0.000127165060704935	8.23815075278372e-05	0.000247969909976762	0.000285978153199075	0.000180841794658232	0.000236648575534552	4.61724062652006e-05	2.53183830337607e-05	5.60517028360237e-05	6.38767706775951e-06	4.23812507228188e-05	1.95171236061031e-05
Downstream signaling of activated FGFR3	0.0613084693880696	0.0725913568276529	0.0656693924397204	0.0628383411843187	0.0617250943110922	0.0248508668726641	0.00174161907256541	0.0010343726137018	0.00113474208106736	0.000678257928322998	0.00589065759932145	0.00440213158883797	0.00503567245832481	0.00347916799775656	0.00231118097358728	0.000445650104057047	0.000242515921054077	0.000117758193324248	0.00114502537662295	0.0013549873068973	0.000899826117376334	4.85741207994831e-05	0.0010452501848472
Signaling by ERBB4	0.0213546666751397	0.011474013762913	0.0147512182756568	0.0188845245523679	0.0149438951786711	0.000829742948117454	0.00866230810420821	0.00139174030897358	0.00168981856987041	0.00010420344653656	0.0106473429953806	0.00482547653007455	0.0037937974311256	0.00157993974226164	0.0033922281248308	0.00102052190577298	0.000242826312692512	0.00109792617175742	0.000993108461717208	8.57446196297486e-05	0.000134194887407358	0.00349332105069269	0.00866414374638386
Signaling by PDGF	0.00328844313872109	0.00532801172373615	0.0051376400348403	0.00702719993691745	0.00276698612803905	0.000714422103261257	0.00213015530261118	6.50964066731803e-05	9.36582327208315e-05	2.37203126729532e-05	0.00276606131013874	0.00283519415749485	0.00141351892721508	0.00132229244308325	0.00310422322275075	0.000365836574320541	0.000255962006034665	3.16358159271948e-05	0.00038807984936414	6.21092513179023e-05	3.56514317321681e-05	0.000178599264837109	0.00011633148890277
APC/C-mediated degradation of cell cycle proteins	0.204884744238349	0.487115419831964	0.138587975290505	0.146426855046812	0.143784723560836	0.0126310167551734	0.0351930484295932	0.0100317590769499	0.127099445557856	0.000294520769378671	0.0216126486539807	0.00649698432423899	0.0124291925406336	0.00285977224104311	0.00269484319174825	0.676333821860174	0.000258570367556372	0.000671430040630948	0.0170555208198688	0.000932005917534966	0.000390349673385886	0.00488644868761902	0.000116628437458854
Cyclin A:Cdk2-associated events at S phase entry	0.00216941710646082	0.0022912411616345	0.00138532812137225	0.00172060175135049	0.000823099170713857	0.0415869481705609	0.0141998554251516	0.00808970225595025	0.0139547194223108	0.000902593101168788	0.152380251368122	0.0461104907998274	0.0552259610505699	0.0385140536396579	0.0133713274231292	0.03185055353793	0.000265987261488002	0.00129493624241499	0.0472765198821307	0.000547672140758858	0.000969754513658671	0.134055598911197	0.00429601965013669
GPVI-mediated activation cascade	0.00788710706111451	0.00760875578007436	0.00981415475264979	0.00455830738057514	0.00485805310409513	0.00227484086239722	0.00276842549022372	2.35379795657925e-05	2.8021552364141e-05	1.39155720910008e-05	0.00204929953208703	0.000381537027950746	0.00020412494694605	0.00042804514080936	0.000116131309567232	0.000288289148938273	0.000268707358210678	1.46998415923018e-06	0.000415106170314453	3.2816546861701e-05	6.76748959486932e-05	0.00047734589334937	6.36287154907781e-06
Regulation of mitotic cell cycle	0.175616371591093	0.501099250638439	0.149630079695907	0.143432199752794	0.139983521183313	0.0205758405220729	0.0456337334941324	0.011820838199067	0.197576542834551	0.0003195018569096	0.0227579953567099	0.0079086633801989	0.0143683499040257	0.00354123725541048	0.00461764362814416	0.65049372243308	0.000286924417029742	0.000392629908886483	0.0103020694358097	0.000809924702619856	0.000433774187583744	0.00239181759707978	0.000323687817083438
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	0.99936320502732	0.99936320502732	0.732773944795389	0.771002854758121	0.707255214777647	0.550477016479604	0.99936320502732	0.00201001995403691	0.00132124982214796	0.0014791776049632	0.25355041325248	0.523930856367608	0.305573725371848	0.370204168957081	0.00776778733875769	0.143274289598169	0.000294819069640895	0.00237544747865	0.199691011895151	0.017641798842244	0.0316570493645327	0.168297436474409	0.0387021267892131
Tie2 Signaling	0.00359561422111274	0.00730957559737604	0.0117646581469024	0.0128473010191155	0.0100241973590732	0.00441130155958828	0.00329202324918483	0.000510164793831444	0.00022384088777521	2.6522554177031e-05	0.0236034135476341	0.00745637082098365	0.00898936247380208	0.0083764656593229	0.00142149441567953	1.02276962689183e-05	0.00029822540871234	0.000287047252146793	0.00079495281383845	0.00066780410036822	0.000151929823184502	0.00103349205643481	0.000417425101815757
Activation of BAD and translocation to mitochondria 	0.000541647123916414	0.00803908850456706	0.00682833399738573	0.0038496465904653	0.00772253181694887	0.00214386777757454	0.0234825761191745	0.00165327528183122	0.00249074868050898	0.00547364352575531	0.00193930857947643	0.0164639873076856	0.0241878203014956	0.0328679172240447	0.0346796180812462	0.00354129988227946	0.000298840049290919	0.00384647070071898	0.0527523985921752	0.00188759363989244	0.00155337796456079	0.00466005746750302	0.0123116931935103
SCF(Skp2)-mediated degradation of p27/p21	0.00957817875058701	0.0034821234597718	0.00323600273420023	0.0047527143713314	0.00334821894710408	0.0362678541171897	0.126318034553928	0.0148112079690607	0.201087404913068	0.000404524350113106	0.0993077375271073	0.0269931131912845	0.0309468333011926	0.0118197159107287	0.0121719652807926	0.0147661162164081	0.000321508741985443	0.000312182420144811	0.0200250488770958	0.00272237859379994	0.00197440037229775	0.0520003571331578	0.0077951130557924
MyD88 cascade initiated on plasma membrane	0.00949471504251066	0.00375194118455084	0.00299697792966244	0.000995318452637833	0.00204305968920205	0.00173114791909938	0.000675287317452715	0.000808264490819207	0.000386878010021388	1.32332446934541e-05	0.000233634477984036	0.000581996335188558	0.000253634020391539	0.000223937416732687	9.06969960981062e-05	0.00340673012211673	0.000331482338150588	1.62283050531277e-05	0.000808634986365173	1.70262247013975e-05	0.000446491374701531	0.00132923919775806	6.78013197191651e-05
MyD88 dependent cascade initiated on endosome	0.00455197256245075	0.00313733100562605	0.00303602525124251	0.00168912582987489	0.000454266567644169	0.000410135575841093	0.000990581828632156	0.00140880810610587	0.00235779049136204	9.40188959489278e-07	0.000266456563677482	0.000620323201268229	0.000204182855612629	6.27703064128426e-05	1.34989508107484e-05	0.00196413421043193	0.000336648299102849	1.36365522015622e-05	0.000798246690078169	3.26741327910722e-06	0.000192107252465743	0.00102876546509771	3.6600658591786e-06
Signaling by EGFRvIII in Cancer	0.0166879996830883	0.0821784406234242	0.0852796979874733	0.0940619568665145	0.083921630635794	0.00716696369692673	0.00337040769444467	0.00100104376871969	0.000453384955257573	0.00075802264926123	0.00261023915338758	0.00334296768412861	0.00260008365403764	0.00111249670923941	0.00148321403067872	0.00371071196557841	0.000337198979235631	0.000227797961531793	0.00710327228276654	0.00159119091702218	0.000461749523714149	0.00300979488334295	0.00156508471127455
Signaling by BMP	0.295517950267509	0.154050217435237	0.0644190533935038	0.0667206526752227	0.092535086806321	4.40281918859676e-06	0.356541885570352	0.00128095292526772	0.00216135476561398	4.13574385409548e-05	0.0347698859060323	0.00564763825507042	0.00877024262822958	0.0128587013340751	0.000341240651336835	0.0205435329512973	0.000340701554129958	3.05768055747588e-05	0.000184753114179576	5.10407912558545e-05	8.7451322362509e-07	0.662248509750939	5.3350075986359e-05
Constitutive Signaling by EGFRvIII	0.0132384380988417	0.124309931992994	0.0786134763199942	0.0980542691597608	0.114793109627081	0.00544243176998559	0.00289689652036701	0.00115558458927396	0.00161156651044806	0.000566619039918931	0.00240451185948477	0.00191393940109485	0.0032500834353118	0.00276447825930808	0.00205500283907847	0.0022191395149281	0.000343335781974766	0.00053331359097048	0.00637839850464849	0.00193296466133428	0.00104938224354301	0.00244576788968667	0.000508333490545632
Signaling by ERBB2 ECD mutants	0.0125005304508428	0.0365523108284529	0.0474979120191927	0.0392927831416451	0.0444225334286033	0.00956829274109258	0.00326620501214681	0.00060277632024664	0.000973429577811653	0.000245874097756534	0.00298002293370517	0.00177143343432739	0.00199244715996803	0.00238732232188415	0.00113720811262375	0.00119781806345072	0.000345613869722308	0.000191558175897522	0.00396332276991959	0.00063604837211825	0.00124927776033827	0.00117800609736538	0.00027852279974398
